site,S,R_500,R_1000,R_1500,R_2000,R_2500,R_3000,R_3500,R_4000,R_4500,R_5000
15,34,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,29,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,27,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,24,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,23,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,26,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,25,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,18,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
15,31,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
16,11,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,16,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,14,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,19,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,9,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,16,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,13,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,11,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,17,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
16,11,0.1946,0.2281,0.2029,0.1787,0.1763,0.2502,0.2683,0.24,0.2346,0.1774
17,14,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,6,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,3,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,8,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,9,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,7,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,6,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,7,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,6,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
17,9,0.1838,0.2248,0.1927,0.1677,0.1685,0.2321,0.2186,0.1317,0.1933,0.1645
18,24,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,13,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,16,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,16,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,11,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,22,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,21,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,28,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,28,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
18,21,0.252,0.284,0.2613,0.2326,0.2258,0.3289,0.389,0.419,0.3376,0.2332
19,25,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,21,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,13,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,21,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,20,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,19,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,22,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,21,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,18,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
19,18,0.2562,0.2927,0.2662,0.2361,0.2305,0.3327,0.3812,0.386,0.3316,0.2359
20,4,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,3,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,4,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,3,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,2,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,2,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,3,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,1,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,5,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
20,9,0.2077,0.2597,0.2185,0.189,0.1916,0.2599,0.2266,0.0892,0.2019,0.1842
21,35,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,33,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,29,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,30,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,23,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,27,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,26,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,31,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,29,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
21,28,0.3098,0.3457,0.3208,0.2863,0.2769,0.406,0.4914,0.5462,0.4257,0.2878
22,17,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,24,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,27,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,17,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,14,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,30,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,17,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,21,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,17,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
22,29,0.299,0.3424,0.3107,0.2754,0.2691,0.3879,0.4417,0.4378,0.3844,0.275
23,5,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,5,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,6,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,6,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,9,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,6,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,11,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,3,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,7,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
23,3,0.2505,0.3094,0.263,0.2283,0.2303,0.3151,0.2871,0.141,0.2547,0.2233
24,36,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,35,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,30,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,37,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,30,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,27,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,32,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,30,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,36,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
24,34,0.3639,0.4043,0.3766,0.3365,0.3249,0.4776,0.5834,0.6544,0.505,0.3386
25,7,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,9,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,13,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,11,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,13,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,5,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,14,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,15,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,15,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
25,8,0.2928,0.3535,0.3065,0.2678,0.2674,0.3719,0.3659,0.2446,0.3223,0.2636
26,2,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,4,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,6,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,3,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,2,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,4,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,1,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,3,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,8,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
26,2,0.2744,0.3443,0.2888,0.2496,0.2534,0.3429,0.2952,0.0985,0.2632,0.2431
27,30,0.3954,0.4451,0.4099,0.365,0.3542,0.5164,0.6124,0.6497,0.5313,0.366
27,32,0.3954,0.4451,0.4099,0.365,0.3542,0.5164,0.6124,0.6497,0.5313,0.366
27,34,0.3954,0.4451,0.4099,0.365,0.3542,0.5164,0.6124,0.6497,0.5313,0.366
