site	S	R_500	R_1000	R_1500	R_2000	R_2500	R_3000	R_3500	R_4000	R_4500	R_5000
3	30	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	15	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	29	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	32	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	24	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	26	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	27	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	25	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
3	42	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
4	14	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	14	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	15	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	17	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	19	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	9	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	9	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	13	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	9	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
4	7	0.05	0.04	0.04	0.09	0.15	0.16	0.14	0.11	0.10	0.11
5	5	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	5	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	7	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	4	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	3	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	7	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	3	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	10	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	11	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
5	6	0.06	0.05	0.05	0.07	0.09	0.10	0.09	0.08	0.08	0.09
6	32	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	29	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	27	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	34	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	46	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	25	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	35	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	38	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	28	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
6	40	0.12	0.06	0.10	0.25	0.46	0.49	0.40	0.31	0.30	0.32
7	13	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	8	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	14	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	14	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	16	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	10	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	14	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	13	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	17	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
7	14	0.10	0.07	0.09	0.12	0.16	0.18	0.17	0.13	0.14	0.15
8	5	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	2	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	5	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	10	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	6	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	4	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	8	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	6	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	7	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
8	5	0.10	0.08	0.09	0.09	0.06	0.08	0.09	0.08	0.09	0.10
9	15	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	22	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	17	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	17	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	21	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	23	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	29	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	21	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	24	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
9	16	0.14	0.10	0.12	0.19	0.26	0.29	0.26	0.21	0.21	0.23
10	13	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	15	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	13	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	18	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	15	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	10	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	9	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	12	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	12	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
10	16	0.15	0.11	0.13	0.17	0.20	0.23	0.22	0.18	0.18	0.21
11	9	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	4	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	10	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	4	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	6	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	7	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	4	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	3	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	9	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
11	9	0.15	0.12	0.13	0.13	0.10	0.13	0.14	0.12	0.13	0.16
12	17	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	25	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	23	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	25	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	22	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	18	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	21	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	24	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	22	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
12	14	0.19	0.13	0.17	0.24	0.33	0.37	0.33	0.27	0.27	0.30
13	6	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	9	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	17	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	11	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	7	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	6	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	15	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	12	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	14	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
13	14	0.19	0.15	0.17	0.18	0.17	0.21	0.21	0.18	0.19	0.22
14	1	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	4	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	3	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	7	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	8	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	1	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	4	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	1	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	4	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
14	3	0.19	0.16	0.17	0.15	0.08	0.12	0.15	0.13	0.15	0.18
15	33	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	29	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	23	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	29	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	31	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	28	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	25	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	22	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	29	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
15	22	0.24	0.17	0.22	0.30	0.38	0.43	0.39	0.32	0.33	0.37
16	15	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	12	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	18	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	14	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	16	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	10	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	15	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	15	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	11	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
16	11	0.24	0.18	0.22	0.24	0.22	0.27	0.27	0.23	0.25	0.29
17	2	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	7	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	9	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	6	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	9	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	6	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	7	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	5	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	9	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
17	4	0.24	0.19	0.22	0.19	0.11	0.15	0.19	0.17	0.19	0.23
18	16	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	18	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	27	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	13	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	28	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	23	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	26	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	29	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	26	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
18	20	0.29	0.21	0.26	0.32	0.36	0.42	0.40	0.33	0.34	0.39
19	13	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	21	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	8	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	16	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	16	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	16	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	23	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	16	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	11	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
19	10	0.29	0.22	0.26	0.28	0.25	0.30	0.31	0.27	0.29	0.33
20	3	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	3	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	5	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	3	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	4	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	4	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	5	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	4	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	4	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
20	6	0.28	0.23	0.26	0.23	0.12	0.17	0.22	0.20	0.22	0.27
21	27	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	25	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	23	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	24	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	26	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	24	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	22	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	26	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	19	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
21	29	0.33	0.24	0.30	0.36	0.39	0.45	0.44	0.37	0.38	0.44
22	10	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	16	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	16	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	17	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	9	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	15	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	15	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	18	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	15	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
22	12	0.33	0.25	0.30	0.30	0.23	0.29	0.32	0.28	0.30	0.36
23	3	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	3	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	3	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	2	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	3	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	4	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	5	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	0	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	5	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
23	6	0.33	0.27	0.30	0.26	0.13	0.19	0.25	0.22	0.25	0.31
24	29	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	37	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	28	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	24	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	36	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	38	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	41	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	31	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	26	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
24	31	0.40	0.28	0.35	0.44	0.50	0.58	0.56	0.46	0.48	0.54
25	18	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	9	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	12	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	7	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	10	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	11	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	9	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	15	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	6	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
25	18	0.37	0.29	0.34	0.33	0.23	0.30	0.34	0.30	0.33	0.39
26	1	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	3	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	0	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	1	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	1	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	3	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	0	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	2	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	1	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
26	0	0.37	0.30	0.34	0.28	0.10	0.17	0.24	0.23	0.26	0.33
27	40	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	32	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	28	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	18	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	28	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	33	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	19	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	19	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	38	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
27	31	0.44	0.32	0.39	0.45	0.47	0.56	0.55	0.46	0.48	0.55
28	14	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	9	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	7	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	13	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	14	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	14	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	17	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	10	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	9	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
28	12	0.42	0.33	0.38	0.37	0.25	0.33	0.38	0.33	0.37	0.44
29	6	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	8	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	3	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	7	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	6	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	8	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	5	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	3	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	10	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
29	8	0.42	0.34	0.39	0.34	0.17	0.24	0.32	0.29	0.33	0.40
30	22	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	25	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	23	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	25	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	26	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	17	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	29	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	18	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	29	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
30	20	0.47	0.35	0.42	0.45	0.39	0.48	0.51	0.43	0.46	0.54
31	13	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	17	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	17	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	14	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	13	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	20	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	12	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	19	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	21	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
31	17	0.47	0.36	0.43	0.42	0.32	0.40	0.45	0.39	0.43	0.51
32	8	0.47	0.37	0.43	0.36	0.15	0.23	0.32	0.30	0.34	0.42
32	4	0.47	0.37	0.43	0.36	0.15	0.23	0.32	0.30	0.34	0.42
32	6	0.47	0.37	0.43	0.36	0.15	0.23	0.32	0.30	0.34	0.42
32	4	0.47	0.37	0.43	0.36	0.15	0.23	0.32	0.30	0.34	0.42
32	4	0.47	0.37	0.43	0.36	0.15	0.23	0.32	0.30	0.34	0.42
