S R_500 R_1000 R_1500 R_2000 R_2500 R_3000 R_3500 R_4000 R_4500 R_5000
22 14 0.43102061485598 0.232279753583017 0.00515755424171255 0.043138106614119 0.100202270962337 0.155162201680545 0.140356819644103 0.149463053642905 0.119282963212677 0.208577133751127
23 7 0.421755689588072 0.258452965512209 0.091043380194374 0.146812602079811 0.202170725695076 0.26705790269325 0.231806922566643 0.0173562194414575 0.000659886304506009 0.288386598448346
24 20 0.384089615036613 0.168837768791684 0.122220144232455 0.0896022690642035 0.0381645764610419 0.00278697739002477 0.00943678941284538 0.290968656551391 0.248363280670535 0.0826833383844981
25 22 0.362044172591107 0.142906196828503 0.16527821628468 0.138967988572879 0.0902328123282885 0.0626745378705108 0.0403322138989664 0.341435494440065 0.294587115835754 0.0340120769392371
26 5 0.366979821964975 0.226973613082554 0.0856549475828639 0.134751190197667 0.182887520848879 0.240091453690184 0.208028007061743 0.00646902458292635 0.00719919670951617 0.25657790401699
27 37 0.302332655594141 0.0273594281447972 0.421599812763735 0.42474857922557 0.382636350351653 0.392406978434272 0.312471350364576 0.665514769438672 0.588514345367003 0.220362444569872
28 17 0.311528477360542 0.128795105696306 0.124246980066753 0.100015995463568 0.0581704536411567 0.0323798997091804 0.0170380939924155 0.269690408884826 0.231779062130602 0.0450302912220414
29 4 0.3107838968777 0.189704840220414 0.064793292028208 0.105685309985036 0.146489128158239 0.194037975632318 0.168558079753026 0.0158677932899643 0.00325804384017162 0.210493573347581
30 28 0.257497190220287 0.0364060187425434 0.318675684773225 0.317778712794317 0.28211324028675 0.285764224053745 0.226413183242757 0.512625829621157 0.45244099740701 0.152241685334854
31 12 0.261012782129977 0.114684014564109 0.083215743848826 0.0610640023542567 0.0261080949540249 0.00208526154784975 0.00625602591413529 0.197945323329588 0.16897100842545 0.0560485055048457
32 1 0.25742808671878 0.164014908223245 0.0748780823598436 0.110628366433377 0.144321111156486 0.186158555684051 0.160470176051943 0.015305365134136 0.0229173627375605 0.192960515154279
33 22 0.208401552453899 0.028084348042832 0.262171225612152 0.261822251354521 0.232935693755175 0.236382556837616 0.18742805153239 0.42059478050035 0.371316620138148 0.126947834813996
34 20 0.192036339865104 0.0253104578095948 0.243336405891794 0.243170097541255 0.21654317824465 0.219922001098906 0.174433007628934 0.389917764126748 0.344275161048528 0.118516551307044
35 7 0.191291759382261 0.0862201923337024 0.0542961337968327 0.0374687920926506 0.011883596445254 0.00649587424259267 0.0111631661165082 0.136095148531885 0.115754142758097 0.0469467308184958
36 21 0.152205627366624 0.00918442481930887 0.283032881166808 0.290888131567151 0.269334086445815 0.282436034895481 0.226897978841106 0.429993549207388 0.381773860687836 0.173032165483406
37 19 0.135840414777828 0.0119583150525461 0.26419806144645 0.272235977753885 0.25294157093529 0.265975479156771 0.213902934937651 0.399316532833785 0.354732401598216 0.164600881976453
38 6 0.135095834294986 0.0489514194715615 0.0751577893514887 0.0665346723052808 0.0482819891358936 0.0395576038152726 0.0283067611922086 0.145493917238923 0.126211383307785 0.000862400149086565
39 29 0.0832291851017506 0.0985579815738227 0.443153543209775 0.472994226754149 0.45976916973644 0.500272774446537 0.407587012384176 0.621965990004547 0.557078013310914 0.347597222295295
40 18 0.0796444896905532 0.0492270879146869 0.285059717001106 0.301301857966516 0.289339963625929 0.312028957214637 0.253372862246367 0.408715301540823 0.365189642147903 0.210685212645862
41 4 0.0803199666718885 0.0174720670419066 0.0805462219629988 0.0785960841874256 0.0675651939820904 0.0665240528183391 0.0520856766971085 0.134606722380392 0.118352300293763 0.0309462942822693
42 26 0.0298733749428306 0.124247913570992 0.43306875287814 0.468051170305809 0.461937186738194 0.508152194394805 0.415674916085259 0.590792831580447 0.530902606733182 0.365130280488598
43 16 0.0248686220674555 0.0807064403443419 0.290448149612616 0.31336326984866 0.308623168472126 0.338995406217703 0.277151777751267 0.397828106682292 0.357330559133881 0.242493907077218
44 7 0.018443811727903 0.0429543875501779 0.163300769290238 0.175679837721997 0.172424338050501 0.1889256470954 0.154319651221093 0.225149345349706 0.202074835098291 0.134133169903892
45 16 0.0135420329668463 0.10941190254076 0.314671401944484 0.344076835544071 0.344298888828848 0.382422410959479 0.313925737159623 0.417617928197363 0.37651293520948 0.282733885015527
46 13 0.0284871880914645 0.106396372341511 0.28036335928098 0.30842021340032 0.31079118547388 0.34687482616597 0.28523968145235 0.366654948258192 0.331155152556149 0.260026965270521
47 7 0.0391721708235498 0.0860125808448046 0.19963564778804 0.221750186265113 0.225937918585584 0.254066154208065 0.209480590333627 0.254834077622313 0.230848399211688 0.194493136811355
48 32 0.0938789349451404 0.245100822755161 0.598577847532618 0.662218677374952 0.671655474875016 0.752955382948927 0.620142865133228 0.771878077519075 0.698347676342237 0.571504031731843
49 17 0.0917834004996276 0.172612247366081 0.378591129551365 0.422508435265377 0.432765517386734 0.488363449497831 0.403164667780152 0.477483534793075 0.433194010924387 0.377489477130197
50 5 0.0939480384466475 0.11749193327446 0.20502408039955 0.233811598147258 0.245221123431781 0.281032603211131 0.233259505838527 0.243946882763782 0.222989316197666 0.22630183124271
